["38° 58.719' N,9° 25.393' W"
 "4° 10.273' N,73° 31.183' E"
 "9° 0.104' S,116° 44.32' E"
 "12° 40.752' N,124° 21.914' E"
 "47° 30.406' N,9° 42.814' E"
 "43° 26.172' N,4° 2.487' W"
 "43° 19.359' N,8° 31.255' W"
 "17° 58.212' N,65° 57.675' W"
 "1° 49.905' S,99° 15.179' E"
 "8° 51.089' S,115° 10.207' E"
 "19° 44.568' N,70° 23.529' W"
 "37° 14.611' S,73° 24.507' W"
 "17° 30.919' S,149° 30.452' W"
 "9° 41.363' S,39° 44.163' E"
 "32° 44.79' N,17° 13.239' W"
 "41° 46.184' N,8° 52.395' W"
 "39° 52.47' N,8° 58.315' W"
 "18° 27.083' N,65° 57.278' W"
 "43° 18.222' N,2° 21.188' W"
 "0° 26.158' N,9° 24.995' E"
 "27° 54.332' S,48° 35.207' W"
 "38° 38.677' N,9° 14.546' W"
 "31° 14.943' N,29° 58.083' E"
 "16° 45.681' S,151° 30.294' W"
 "15° 55.862' N,93° 48.519' W"
 "43° 27.344' N,1° 35.027' W"
 "11° 56.039' N,86° 37.248' W"
 "33° 10.318' N,117° 22.06' W"
 "42° 9.145' N,14° 43.118' E"
 "34° 3.285' S,23° 22.783' E"
 "23° 48.157' N,106° 53.035' W"
 "8° 55.094' S,116° 19.364' E"
 "0° 29.292' N,122° 59.526' E"
 "20° 52.472' N,105° 27.095' W"
 "17° 54.501' N,62° 49.519' W"
 "34° 11.226' S,18° 49.072' E"
 "48° 15.466' N,4° 33.498' W"
 "43° 37.013' N,79° 19.7' W"
 "32° 18.14' N,34° 50.442' E"
 "18° 15' N,66° 30' W"
 "15° 49.834' N,97° 2.806' W"
 "34° 25.649' S,21° 20.408' E"
 "31° 52.181' N,131° 27.44' E"
 "55° 55.948' N,2° 19.993' W"
 "16° 51.417' N,94° 23.246' E"
 "47° 51.677' N,4° 5.425' W"
 "38° 36.978' N,9° 13.111' W"
 "21° 2.332' S,55° 43.356' E"
 "16° 36.75' N,22° 55.955' W"
 "8° 10.076' N,81° 51.972' W"
 "31° 45.019' S,18° 13.453' E"
 "30° 2.715' S,50° 9.002' W"
 "40° 52.839' S,144° 42.177' E"
 "43° 9.689' N,13° 48.686' E"
 "9° 48.634' N,126° 10.102' E"
 "5° 57.69' N,80° 23.791' E"
 "23° 7.167' N,109° 31.684' W"
 "42° 45.033' N,9° 5.687' W"
 "43° 29.671' N,39° 52.981' E"
 "4° 15.821' S,81° 14.809' W"
 "22° 24.307' S,41° 47.902' W"
 "58° 50.016' N,5° 33.208' E"
 "17° 55.229' N,62° 52.483' W"
 "45° 13.716' N,12° 18.106' E"
 "43° 51.736' N,10° 14' E"
 "49° 40.13' N,1° 29.233' W"
 "22° 24.455' N,114° 22.604' E"
 "50° 35.19' N,128° 14.254' W"
 "16° 7.026' N,108° 8.022' E"
 "31° 44.868' N,131° 28.354' E"
 "28° 45.335' N,13° 53.705' W"
 "41° 48.602' N,8° 52.113' W"
 "41° 29.938' N,2° 23.202' E"
 "33° 27.751' S,71° 39.577' W"
 "5° 7.385' S,103° 50.762' E"
 "34° 34.82' S,19° 20.447' E"
 "38° 22.821' N,8° 48.209' W"
 "19° 6.303' N,96° 5.876' W"
 "14° 28.319' N,17° 4.231' W"
 "34° 38.895' N,32° 43.114' E"
 "43° 38.746' N,8° 6.153' W"
 "48° 22.003' N,4° 46.066' W"
 "16° 42.491' S,151° 2.633' W"
 "0° 11.613' N,6° 42.177' E"
 "31° 5.73' N,9° 49.507' W"
 "43° 31.678' N,1° 31.592' W"
 "51° 14.1' N,2° 54.783' E"
 "35° 58.055' N,14° 22.897' E"
 "37° 2.707' N,8° 52.694' W"
 "35° 17.697' N,25° 25.651' E"
 "29° 43.638' S,31° 5.323' E"
 "48° 22.972' N,123° 30.825' W"
 "2° 1.355' N,73° 32.169' E"
 "20° 12.896' S,57° 23.763' E"
 "36° 30.976' N,6° 17.051' W"
 "38° 47.518' N,0° 10.961' E"
 "8° 25.496' S,114° 48.788' E"
 "43° 32.309' N,8° 17.88' W"
 "32° 38.408' N,16° 57.181' W"
 "39° 48.196' N,9° 40.341' E"
 "51° 35.12' N,3° 48.658' W"
 "32° 48.529' N,17° 3.004' W"
 "31° 41.59' S,18° 10.95' E"
 "51° 35.533' N,4° 17.801' W"
 "18° 26.549' N,64° 39.087' W"
 "7° 43.092' S,107° 49.983' E"
 "12° 8.713' S,77° 1.589' W"
 "43° 27.303' N,1° 35.077' W"
 "4° 43.537' S,55° 30.341' E"
 "48° 20.875' N,4° 42.139' W"
 "11° 24.376' N,86° 2.881' W"
 "48° 41.672' N,3° 38.938' W"
 "29° 50.682' S,31° 2.308' E"
 "58° 49.319' N,5° 32.236' E"
 "13° 58.191' S,171° 28.075' W"
 "14° 43.981' N,17° 30.646' W"
 "34° 14.652' S,18° 51.094' E"
 "54° 16.169' N,8° 36.627' W"
 "28° 24.811' N,16° 33.551' W"
 "51° 40.975' N,4° 20.227' W"
 "0° 32.2' N,9° 18.544' E"
 "24° 2.186' S,45° 50.757' W"
 "28° 9.603' N,15° 39.842' W"
 "55° 14.939' N,7° 42.167' W"
 "54° 19.472' N,8° 36.096' E"
 "39° 12.327' N,9° 18.763' E"
 "10° 49.426' N,85° 48.04' W"
 "12° 10.566' N,68° 51.897' W"
 "17° 38.577' N,63° 15.168' W"
 "30° 4.845' N,9° 40.227' W"
 "28° 3.425' N,16° 44.248' W"
 "38° 55.976' N,9° 25.197' W"
 "29° 7.619' N,13° 34.413' W"
 "41° 14.557' N,9° 24.028' E"
 "18° 13.252' N,109° 31.064' E"
 "51° 41.782' S,57° 46.718' W"
 "0° 12.703' N,73° 8.482' E"
 "22° 56.299' S,42° 28.799' W"
 "48° 16.866' N,4° 36.866' W"
 "32° 48.633' N,17° 2.343' W"
 "8° 51.7' S,13° 9.368' E"
 "8° 58.316' S,116° 43.588' E"
 "21° 57.032' N,59° 38.748' E"
 "38° 11.054' N,13° 20.903' E"
 "50° 16.002' N,3° 52.233' W"
 "38° 49.51' N,9° 28.223' W"
 "26° 17.679' N,127° 54.644' E"
 "9° 38.132' S,119° 0.291' E"
 "43° 38.641' N,1° 26.821' W"
 "2° 55.649' N,73° 35.229' E"
 "34° 0.708' N,35° 38.544' E"
 "28° 2.973' N,16° 31.788' W"
 "35° 18.867' N,139° 28.114' E"
 "29° 7.083' N,13° 33.711' W"
 "54° 0.708' N,10° 1.295' W"
 "23° 2.045' S,43° 28.364' W"
 "13° 1.719' N,87° 36.546' W"
 "36° 36.684' N,2° 12.248' E"
 "58° 34.052' N,4° 44.069' W"
 "3° 50.937' S,32° 26.372' W"
 "51° 32.787' N,4° 11.039' W"
 "2° 11.477' N,73° 7.23' E"
 "52° 7.554' N,9° 58.041' W"
 "17° 31.89' S,149° 30.722' W"
 "32° 14.401' N,131° 34.533' E"
 "23° 41.984' N,121° 33.062' E"
 "27° 8.404' S,109° 25.725' W"
 "40° 1.752' N,8° 23.34' E"
 "32° 55.357' S,71° 31.559' W"
 "4° 18.459' N,73° 34.606' E"
 "18° 27.712' N,66° 0.279' W"
 "51° 34.912' N,8° 45.119' W"
 "51° 26.757' N,3° 36.346' W"
 "18° 20.364' N,120° 36.277' E"
 "34° 5.864' S,18° 21.077' E"
 "4° 26.736' S,81° 16.565' W"
 "27° 36.149' S,48° 25.955' W"
 "43° 34.776' N,6° 0.744' W"
 "12° 23.001' S,76° 47.362' W"
 "28° 0.344' N,16° 39.419' W"
 "18° 19.171' N,64° 56.705' W"
 "13° 29.947' N,89° 28.415' W"
 "8° 47.535' S,115° 7.189' E"
 "51° 12.703' N,4° 2.057' W"
 "38° 9.314' N,13° 4.791' E"
 "44° 4.745' N,12° 34.561' E"
 "17° 30.475' S,149° 26.352' W"
 "14° 44.436' N,17° 31.687' W"
 "38° 38.742' N,27° 4.68' W"
 "28° 48.312' S,32° 5.938' E"
 "28° 6.713' N,14° 23.393' W"
 "30° 39.843' S,30° 30.975' E"
 "16° 39.967' S,151° 32.199' W"
 "12° 49.17' S,76° 33.355' W"
 "17° 34.843' N,61° 51.453' W"
 "43° 26.225' N,1° 35.805' W"
 "43° 24.676' N,2° 56.808' W"
 "11° 11.802' N,60° 47.843' W"
 "18° 16.052' N,109° 43.302' E"
 "7° 25.675' S,158° 18.921' E"
 "19° 44.42' S,175° 4.605' W"
 "48° 20.703' N,4° 38.429' W"
 "4° 48.792' S,11° 50.596' E"
 "39° 24.278' N,8° 24.015' E"
 "22° 52.522' N,109° 53.853' W"
 "18° 21.78' N,64° 36.183' W"
 "31° 54.04' N,116° 43.819' W"
 "10° 23.914' N,75° 33.868' W"
 "13° 20.223' N,144° 45.72' E"
 "50° 4.92' N,5° 19.274' W"
 "47° 51.147' N,4° 21.066' W"
 "47° 46.471' N,3° 38.333' W"
 "14° 4.674' N,60° 54.789' W"
 "28° 36.957' S,48° 51.57' W"
 "10° 52.83' S,122° 48.788' E"
 "33° 45.055' S,18° 26.526' E"
 "39° 14.262' N,20° 28.68' E"
 "55° 6.618' N,1° 29.839' W"
 "27° 44.1' N,15° 35.892' W"
 "55° 12.308' N,6° 39.127' W"
 "30° 42.538' N,9° 51.5' W"
 "34° 9.999' S,22° 7.247' E"
 "37° 0.325' N,25° 9.394' W"
 "18° 23.944' N,67° 11.393' W"
 "46° 15.322' N,1° 31.298' W"
 "39° 21.765' N,9° 22.117' W"
 "39° 42.059' N,9° 2.927' W"
 "40° 29.771' N,8° 22.094' E"
 "33° 26.75' N,111° 54.78' W"
 "50° 21.017' N,5° 9.441' W"
 "14° 45.488' N,17° 29.402' W"
 "52° 50.285' N,9° 26.086' W"
 "39° 20.689' N,9° 21.871' W"
 "41° 25.822' N,8° 47.261' W"
 "52° 49.428' N,4° 30.408' W"
 "38° 41.441' N,9° 17.828' W"
 "34° 7.16' S,18° 27.622' E"
 "54° 13.567' N,11° 5.385' E"
 "37° 37.845' N,25° 8.553' E"
 "23° 44.745' N,106° 50.605' W"
 "17° 1.388' N,54° 5.111' E"
 "33° 43.259' S,18° 26.376' E"
 "48° 5.414' N,11° 32.717' E"
 "34° 0.816' S,18° 20.079' E"
 "43° 32.695' N,5° 39.605' W"
 "8° 48.628' S,115° 5.964' E"
 "50° 52.415' N,1° 37.168' E"
 "32° 19.669' N,131° 36.532' E"
 "9° 33.943' N,84° 35.519' W"
 "43° 25.509' N,2° 41.157' W"
 "25° 9.891' N,55° 12.445' E"
 "43° 38.854' N,1° 26.788' W"
 "41° 18.425' N,8° 44.412' W"
 "41° 23.304' N,19° 23.73' E"
 "43° 32.611' N,5° 38.828' W"
 "38° 10.11' S,57° 38.021' W"
 "47° 30.577' N,9° 45.151' E"
 "13° 3.974' N,59° 34.157' W"
 "45° 52.513' N,1° 16.117' W"
 "51° 10.168' N,4° 12.965' W"
 "43° 29.492' N,8° 19.298' W"
 "45° 55.787' S,67° 33.09' W"
 "10° 32.489' N,72° 37.161' E"
 "27° 59.799' N,15° 22.468' W"
 "13° 53.362' N,90° 28.957' W"
 "34° 1.698' S,25° 40.687' E"
 "46° 2.905' N,1° 25.305' W"
 "13° 29.53' N,89° 23.397' W"
 "45° 31.232' N,8° 44.807' E"
 "6° 56.22' S,39° 30.373' E"
 "32° 38.77' N,16° 54.1' W"
 "37° 4.344' S,73° 9.679' W"
 "40° 52.382' N,8° 40.757' W"
 "34° 50.578' N,32° 23.138' E"
 "44° 0.102' N,12° 39.725' E"
 "55° 28.296' N,5° 42.887' W"
 "38° 2.308' S,57° 31.027' W"
 "59° 26.794' N,9° 4.405' E"
 "48° 14.894' N,4° 33.261' W"
 "6° 13.263' S,35° 4.08' W"
 "8° 30.176' S,116° 2.688' E"
 "24° 0.056' S,46° 15.646' W"
 "31° 53.835' N,116° 42.823' W"
 "2° 22.538' S,99° 51.573' E"
 "7° 14.311' N,80° 31.179' W"
 "18° 28.128' N,66° 5.527' W"
 "3° 40.217' S,38° 40.167' W"
 "2° 41.8' S,141° 19.693' E"
 "43° 28.424' N,3° 54.559' W"
 "11° 26.238' N,86° 5.069' W"
 "29° 47.083' S,50° 1.353' W"
 "33° 34.001' N,134° 18.64' E"
 "26° 42.556' N,113° 34.558' W"
 "11° 19.222' N,74° 5.908' W"
 "9° 52.904' N,85° 34.662' W"
 "18° 1.789' N,71° 8.232' W"
 "48° 16.477' N,4° 37.203' W"
 "48° 1.962' N,4° 51.19' W"
 "40° 27.367' N,8° 48.224' W"
 "26° 42.082' S,48° 40.815' W"
 "35° 0.146' N,25° 46.044' E"
 "18° 19.91' N,67° 15.181' W"
 "49° 39.539' N,126° 50.66' W"
 "0° 50.837' N,97° 21.012' E"
 "35° 2.122' N,25° 58.164' E"
 "21° 11.223' N,105° 13.798' W"
 "41° 49.922' N,8° 47.055' E"
 "41° 14.061' N,1° 49.715' E"
 "51° 38.517' N,8° 34.655' W"
 "36° 57.862' N,7° 52.647' W"
 "6° 11.496' S,105° 50.517' E"
 "50° 36.609' N,2° 8.035' W"
 "34° 35.253' S,54° 7.307' W"
 "34° 10.885' S,18° 20.542' E"
 "43° 18.222' N,2° 12.369' W"
 "28° 45.03' N,13° 55.936' W"
 "27° 31.519' S,48° 24.634' W"
 "34° 39.986' N,138° 11.7' E"
 "55° 43.897' N,21° 5.005' E"
 "8° 10.979' S,79° 0.918' W"
 "23° 54.511' S,46° 9.995' W"
 "55° 53.553' N,2° 7.829' W"
 "12° 4.643' N,68° 13.884' W"
 "55° 10.297' N,6° 44.644' W"
 "4° 15.02' S,81° 14.15' W"
 "14° 50.64' N,61° 13.168' W"
 "18° 26.922' N,66° 0.919' W"
 "40° 58.926' N,8° 51.216' E"
 "10° 23.699' N,75° 33.322' W"
 "10° 18.864' S,120° 9.314' E"
 "44° 2.879' N,9° 59.695' E"
 "38° 21.262' N,0° 25.644' W"
 "0° 0' S,0° 0' W"
 "29° 19.639' S,49° 42.72' W"
 "18° 28.572' N,67° 10.154' W"
 "14° 5.628' N,60° 57.605' W"
 "54° 31.413' N,11° 2.698' E"
 "51° 30.578' N,3° 44.849' W"
 "21° 2.22' S,55° 13.006' E"
 "50° 25.448' N,1° 33.903' E"
 "8° 48.023' S,115° 14.239' E"
 "50° 42.904' N,1° 52.539' W"
 "41° 8.064' N,1° 23.066' E"
 "53° 18.573' N,5° 4.129' E"
 "39° 26.454' N,8° 24.548' E"
 "14° 2.398' S,171° 36.915' W"
 "13° 5.874' N,59° 27.122' W"
 "28° 42.158' N,14° 1.51' W"
 "8° 32.885' N,79° 52.082' W"
 "18° 27.418' N,66° 3.821' W"
 "34° 3.499' S,24° 55.627' E"
 "37° 44.996' N,25° 37.436' W"
 "38° 10.843' N,13° 9.701' E"
 "13° 51.734' S,171° 39.896' W"
 "26° 0.47' S,48° 36.244' W"
 "51° 53.746' N,5° 17.992' W"
 "52° 12.781' N,4° 23.844' E"
 "34° 5.796' S,18° 48.04' E"
 "36° 57.237' N,136° 45.673' E"
 "50° 24.953' N,5° 4.603' W"
 "9° 36.076' N,75° 34.3' W"
 "38° 1.856' S,57° 31.756' W"
 "32° 51.061' N,17° 9.007' W"
 "43° 33.716' N,7° 11.501' W"
 "48° 41.77' N,4° 3.639' W"
 "23° 46.73' S,45° 38.948' W"
 "7° 34.296' S,158° 46.928' E"
 "38° 31.653' N,0° 9.653' W"
 "51° 13.189' N,3° 37.579' W"
 "15° 41.23' N,73° 42.169' E"
 "14° 22.235' S,39° 0.361' W"
 "33° 26.736' S,71° 41.017' W"
 "3° 49.656' S,32° 24.035' W"
 "18° 7.45' N,63° 1.633' W"
 "37° 59.632' S,57° 32.558' W"
 "55° 36.723' N,1° 42.997' W"
 "13° 0.586' S,38° 31.618' W"
 "44° 41.204' N,1° 15.365' W"
 "23° 44.609' N,106° 50.718' W"
 "50° 47.262' N,1° 36.058' E"
 "44° 22.643' N,9° 4.153' E"
 "24° 31.047' S,35° 12.31' E"
 "18° 13.898' S,177° 46.271' E"
 "50° 26.735' N,5° 2.605' W"
 "20° 26.796' S,57° 43.389' E"
 "4° 6.368' S,81° 3.582' W"
 "32° 3.487' N,34° 45.378' E"
 "36° 42.038' N,15° 7.471' E"
 "51° 52.653' N,176° 45.707' W"
 "15° 50.83' N,97° 3.307' W"
 "33° 55.337' N,6° 57.673' W"
 "48° 41.696' N,3° 39.028' W"
 "45° 52.087' N,1° 15.837' W"
 "36° 51.788' N,7° 46.946' E"
 "48° 44.619' N,3° 33.16' W"
 "12° 9.538' S,77° 1.661' W"
 "32° 19.483' N,34° 50.98' E"
 "16° 8.514' N,22° 54.426' W"
 "54° 59.726' N,1° 24.21' W"
 "49° 28.211' N,1° 50.487' W"
 "50° 32.727' N,5° 1.091' W"
 "7° 49.022' N,98° 17.918' E"
 "45° 42.797' N,1° 14.343' W"
 "31° 53.843' S,29° 14.819' E"
 "5° 17.304' N,52° 35.03' W"
 "43° 19.836' N,13° 42.888' E"
 "5° 56.188' N,80° 30.647' E"
 "35° 18.088' N,139° 31.525' E"
 "10° 56.42' S,122° 50.401' E"
 "31° 44.702' N,131° 28.584' E"
 "25° 1.497' S,47° 0.341' E"
 "47° 12.387' N,2° 9.585' W"
 "47° 43.9' N,3° 29.892' W"
 "39° 20.958' N,9° 22.077' W"
 "11° 52.283' S,77° 9.419' W"
 "37° 28.166' N,15° 5.126' E"
 "34° 47.933' S,20° 3.81' E"
 "37° 6.503' N,8° 39.717' W"
 "58° 2.616' N,7° 9.981' E"
 "10° 29.684' N,103° 33.582' E"
 "52° 6.476' N,10° 28.003' W"
 "41° 30.177' N,8° 47.896' W"
 "7° 16.334' N,80° 25.216' W"
 "10° 50.802' S,122° 49.051' E"
 "14° 8.254' N,122° 59.053' E"
 "19° 45.178' N,70° 31.619' W"
 "50° 12.952' N,5° 28.962' W"
 "46° 35.075' N,1° 51.103' W"
 "43° 38.379' N,8° 6.812' W"
 "44° 43.259' N,0° 26.855' W"
 "18° 7.322' N,63° 1.168' W"
 "32° 58.158' N,132° 59.931' E"
 "49° 33.544' N,1° 51.273' W"
 "51° 20.982' N,3° 16.706' E"
 "32° 15.536' N,116° 59.181' W"
 "36° 57.594' N,8° 45.974' E"
 "31° 24.502' N,131° 20.568' E"
 "32° 59.317' S,71° 32.836' W"
 "8° 33.425' N,79° 50.444' W"
 "12° 21.9' S,76° 47.98' W"
 "8° 4.876' N,81° 49.061' W"
 "27° 45.157' N,15° 34.029' W"
 "17° 6.208' S,71° 54.595' W"
 "37° 6.306' N,8° 56.509' W"
 "52° 44.548' N,9° 32.249' W"
 "34° 6.361' S,18° 48.686' E"
 "33° 30.019' S,18° 18.75' E"
 "32° 23.938' N,9° 15.645' W"
 "49° 20.098' N,123° 11.684' W"
 "13° 29.865' N,144° 46.136' E"
 "9° 41.255' S,39° 44.367' E"
 "29° 51.569' S,50° 3.874' W"
 "31° 7.674' N,29° 46.398' E"
 "31° 27.33' N,131° 10.987' E"
 "9° 35.37' N,84° 37.517' W"
 "34° 11.251' S,24° 51.569' E"
 "12° 10.383' N,86° 45.947' W"
 "42° 27.277' N,8° 52.885' W"
 "43° 10.713' N,5° 40.444' E"
 "18° 44.992' S,70° 20.316' W"
 "18° 24.419' N,109° 57.554' E"
 "16° 13.778' N,108° 5.371' E"
 "49° 33.087' N,1° 51.856' W"
 "43° 16.392' N,6° 35.293' E"
 "51° 38.571' N,4° 48.324' W"
 "44° 21.496' N,8° 34.658' E"
 "27° 8.407' S,48° 30.407' W"
 "23° 1.998' S,43° 28.05' W"
 "24° 0.899' S,46° 16.362' W"
 "57° 43.069' N,3° 16.647' W"
 "23° 31.28' S,45° 12.313' W"
 "34° 25.564' S,20° 51.932' E"
 "9° 36.563' S,118° 59.068' E"
 "30° 4.304' S,30° 52.585' E"
 "55° 12.039' N,6° 39.418' W"
 "34° 21.626' S,18° 54.47' E"
 "4° 33.967' S,55° 27.233' E"
 "2° 47.225' S,40° 30.757' W"
 "33° 58.78' S,25° 39.541' E"
 "8° 22.182' S,116° 4.563' E"
 "5° 18.289' S,103° 59.512' E"
 "41° 41.398' N,9° 23.588' E"
 "48° 2.868' N,4° 42.402' W"
 "54° 32.699' N,8° 13.89' W"
 "44° 51.436' N,1° 13.442' W"
 "17° 28.964' S,149° 53.698' W"
 "7° 37.397' N,81° 14.68' W"
 "51° 13.566' N,2° 53.923' E"
 "6° 26.722' N,116° 26.11' E"
 "12° 46.699' S,76° 36.491' W"
 "51° 6.586' N,4° 13.619' W"
 "52° 48.745' N,4° 34.693' W"
 "5° 41.233' S,35° 12.661' W"
 "50° 34.505' N,4° 55.006' W"
 "1° 11.516' N,104° 25.688' E"
 "38° 47.477' N,27° 7.651' W"
 "46° 9.493' N,1° 21.508' W"
 "30° 4.708' S,30° 52.384' E"
 "0° 2.153' N,6° 32.185' E"
 "54° 22.322' N,10° 54.88' E"
 "34° 6.194' S,18° 48.704' E"
 "28° 20.831' N,14° 10.691' W"
 "34° 39.745' S,54° 10.546' W"
 "41° 59.91' N,8° 53.072' W"
 "11° 16.998' N,85° 54.247' W"
 "32° 19.313' N,9° 15.323' W"
 "50° 17.098' N,5° 14.814' W"
 "48° 25.192' N,124° 3.373' W"
 "15° 59.62' N,22° 53.689' W"
 "37° 32.504' N,122° 6.029' E"
 "41° 13.801' N,9° 10.034' E"
 "13° 8.103' N,59° 38.181' W"
 "14° 0.86' S,171° 48.717' W"
 "48° 15.684' N,4° 36.765' W"
 "4° 27.224' N,73° 43.034' E"
 "16° 48.901' S,180° 13.091' E"
 "11° 46.304' N,86° 30.624' W"
 "41° 10.386' N,9° 10.075' E"
 "49° 7.066' N,125° 53.957' W"
 "14° 46.251' N,60° 53.992' W"
 "14° 20.664' S,39° 0.083' W"
 "0° 36.138' N,97° 41.06' E"
 "57° 40.911' N,1° 59.816' W"
 "50° 30.747' N,2° 27.491' W"
 "27° 25.858' S,48° 28.78' W"
 "34° 22.566' N,139° 16.598' E"
 "41° 1.025' N,8° 53.081' E"
 "34° 46.764' N,32° 24.16' E"
 "18° 30.869' N,67° 4.645' W"
 "51° 11.135' N,2° 49.265' E"
 "33° 58.31' S,25° 38.859' E"
 "52° 37.171' N,4° 37.201' E"
 "35° 7.512' N,25° 44.587' E"
 "23° 31.918' S,45° 13.338' W"
 "45° 6.893' N,1° 11.473' W"
 "33° 45.293' N,136° 1.515' E"
 "34° 48.972' S,19° 57.328' E"
 "26° 57.431' S,48° 37.753' W"
 "3° 20.73' S,143° 33.542' E"
 "35° 15.591' N,139° 11.019' E"
 "48° 37.573' N,2° 9.102' W"
 "39° 55.469' N,8° 57.149' W"
 "48° 20.508' N,4° 37.978' W"
 "4° 18.563' S,55° 41.01' E"
 "45° 16.109' N,1° 9.976' W"
 "35° 56.046' N,14° 20.557' E"
 "33° 28.636' N,7° 50.654' W"
 "3° 11.871' S,40° 7.53' E"
 "43° 28.487' N,5° 12.853' W"
 "38° 41.534' N,9° 21.97' W"
 "43° 12.89' N,9° 1.549' W"
 "5° 58.386' N,80° 25.829' E"
 "6° 14.859' N,10° 42.423' W"
 "40° 1.803' N,8° 23.004' E"
 "50° 2.569' N,5° 39.004' W"
 "32° 56.45' S,28° 2.202' E"
 "9° 13.869' N,126° 3.5' E"
 "50° 49.257' N,0° 9.192' W"
 "33° 49.053' S,18° 22.912' E"
 "62° 35.952' N,18° 1.929' E"
 "48° 49.209' N,3° 25.929' W"
 "51° 33.241' N,8° 57.54' W"
 "34° 13.806' S,18° 50.603' E"
 "29° 20.813' S,49° 42.265' W"
 "8° 55.546' S,116° 21.125' E"
 "34° 23.191' S,21° 25.642' E"
 "27° 22.09' S,48° 31.95' W"
 "54° 29.356' N,0° 35.426' W"
 "39° 44.768' N,3° 25.932' E"
 "56° 33.603' N,21° 0.022' E"
 "43° 33.686' N,7° 6.791' W"
 "23° 1.756' S,44° 31.2' W"
 "5° 19.849' N,73° 27.896' E"
 "44° 38.442' N,1° 15.817' W"
 "19° 46.002' N,70° 30.945' W"
 "34° 20.92' S,18° 59.258' E"
 "8° 23.717' N,83° 16.621' W"
 "46° 16.467' N,6° 10.314' E"
 "45° 26.074' N,1° 9.325' W"
 "35° 8.542' N,24° 28.652' E"
 "28° 44.528' N,13° 57.089' W"
 "34° 29.113' S,58° 28.821' W"
 "37° 6.562' N,8° 31.199' W"
 "43° 36.151' N,5° 55.236' W"
 "39° 30.6' N,0° 19.157' W"
 "44° 25.449' N,8° 49.438' E"
 "8° 43.911' N,76° 42.35' E"
 "7° 0.951' S,39° 33.095' E"
 "30° 51.435' S,30° 22.855' E"
 "23° 57.806' S,46° 11.042' W"
 "51° 33.776' N,8° 59.618' W"
 "38° 41.452' N,9° 21.948' W"
 "42° 31.604' N,3° 5.171' E"
 "18° 51.674' S,49° 8.928' E"
 "39° 22.455' N,9° 20.15' W"
 "19° 56.886' N,72° 46.241' W"
 "27° 19.319' S,48° 32.127' W"
 "48° 0.557' N,4° 32.854' W"
 "44° 18.598' N,9° 19.878' E"
 "18° 13.738' N,70° 11.33' W"
 "54° 46.129' N,8° 32.389' W"
 "7° 48.531' N,98° 17.861' E"
 "49° 30.235' N,1° 50.984' W"
 "38° 10.409' S,57° 38.358' W"
 "9° 20.896' N,82° 13.73' W"
 "58° 36.146' N,3° 30.484' W"
 "25° 3.195' S,46° 59.971' E"
 "18° 29.611' N,66° 37.857' W"
 "31° 53.729' N,131° 27.842' E"
 "40° 0.188' N,8° 54.842' W"
 "13° 3.199' N,59° 30.246' W"
 "9° 15.023' S,13° 5.516' E"
 "54° 47.611' N,18° 25.455' E"
 "39° 14.932' N,8° 23.479' E"
 "60° 8.626' N,29° 55.581' E"
 "31° 37.426' N,131° 27.293' E"
 "20° 54.046' N,105° 25.029' W"
 "12° 23.192' S,76° 47.007' W"
 "35° 6.377' N,140° 6.23' E"
 "43° 57.424' N,10° 9.92' E"
 "32° 44.26' N,17° 12.794' W"
 "13° 4.632' N,59° 36.502' W"
 "58° 32.558' N,5° 3.444' W"
 "12° 46.898' S,45° 17.915' E"
 "13° 7.821' N,59° 38.231' W"
 "43° 19.66' N,5° 7.122' E"
 "43° 36.763' N,8° 9.853' W"
 "4° 36.634' S,55° 25.711' E"
 "34° 0.115' S,22° 33.452' E"
 "13° 17.137' N,59° 38.997' W"
 "5° 18.028' S,103° 59.677' E"
 "43° 18.962' N,8° 32.029' W"
 "14° 42.831' N,17° 29.505' W"
 "28° 40.437' N,14° 0.603' W"
 "20° 54.158' N,156° 27.808' W"
 "50° 56.293' N,4° 32.89' W"
 "25° 11.465' N,121° 24.839' E"
 "30° 43.001' S,30° 28.698' E"
 "32° 3.829' N,34° 45.347' E"
 "3° 24.403' S,39° 1.957' W"
 "23° 0.929' S,43° 18.392' W"
 "50° 24.957' N,5° 5.084' W"
 "36° 32.14' N,136° 31.451' E"
 "15° 45.806' N,121° 35.966' E"
 "43° 28.906' N,5° 8.537' W"
 "43° 33.497' N,1° 30.125' W"
 "37° 4.285' S,73° 8.965' W"
 "39° 19.415' N,9° 21.68' W"
 "8° 40.898' S,115° 25.977' E"
 "31° 27.301' N,131° 11.594' E"
 "11° 14.17' N,85° 51.927' W"
 "50° 45.92' N,0° 52.652' W"
 "43° 37.221' N,51° 11.354' E"
 "32° 9.957' N,116° 54.272' W"
 "41° 18.03' N,19° 29.514' E"
 "1° 48.87' S,99° 15.92' E"
 "30° 32.658' N,9° 42.707' W"
 "33° 21.541' S,18° 9.28' E"
 "6° 19.353' N,10° 48.906' W"
 "38° 37.797' N,9° 13.653' W"
 "4° 47.398' N,1° 56.754' W"
 "37° 17.666' N,8° 52.275' W"
 "39° 6.573' N,9° 23.733' W"
 "44° 41.877' N,1° 15.273' W"
 "34° 9.36' S,18° 35.579' E"
 "22° 19.943' N,114° 17.631' E"
 "34° 54.989' S,54° 50.867' W"
