["38° 58.719' N,9° 25.393' W"
 "34° 22.813' S,18° 49.574' E"
 "50° 19.275' N,5° 12.065' W"
 "49° 21.767' N,0° 4.017' E"
 "28° 38.145' N,14° 1.594' W"
 "4° 29.189' S,145° 26.864' E"
 "22° 13.974' N,113° 57.431' E"
 "13° 1.68' S,76° 29.055' W"
 "12° 24.927' N,69° 53.377' W"
 "55° 3.873' N,15° 8.27' E"
 "1° 47.751' S,99° 13.871' E"
 "46° 23.673' N,1° 30.699' W"
 "16° 41.294' N,99° 37.789' W"
 "47° 42.418' N,3° 22.648' W"
 "28° 6.327' S,48° 38.116' W"
 "2° 11.042' N,73° 6.026' E"
 "18° 27.445' N,66° 4.233' W"
 "51° 13.907' N,3° 49.862' W"
 "8° 35.853' S,115° 20.345' E"
 "36° 48.365' N,21° 43.281' E"
 "21° 9.26' S,55° 16.694' E"
 "32° 44.348' N,9° 2.366' W"
 "42° 45.672' N,10° 19.535' E"
 "40° 7.583' N,8° 51.922' W"
 "24° 55.942' N,121° 53.185' E"
 "44° 47.853' N,1° 14.055' W"
 "29° 57.18' N,115° 45.282' W"
 "31° 38.194' N,131° 27.548' E"
 "52° 55.939' N,1° 18.71' E"
 "32° 49.769' S,71° 31.569' W"
 "2° 11.655' N,73° 7.674' E"
 "32° 25.17' N,117° 5.745' W"
 "41° 27.081' N,12° 38.222' E"
 "49° 29.289' N,1° 50.724' W"
 "12° 7.776' S,77° 2.25' W"
 "42° 11.846' N,8° 48.52' W"
 "31° 27.215' N,131° 10.745' E"
 "43° 29.956' N,1° 32.657' W"
 "9° 52.825' N,85° 31.598' W"
 "32° 24.64' S,71° 24.879' W"
 "13° 3.525' N,59° 32.285' W"
 "43° 27.869' N,3° 27.835' W"
 "7° 2.701' S,34° 50.485' W"
 "49° 4.111' N,125° 48.214' W"
 "41° 15.258' N,1° 54.3' E"
 "38° 42.094' N,9° 23.657' W"
 "23° 2.88' N,109° 40.931' W"
 "51° 8.639' N,4° 13.259' W"
 "43° 28.813' N,3° 40.539' W"
 "16° 44.486' N,62° 13.984' W"
 "27° 5.732' S,48° 36.584' W"
 "36° 4' N,5° 41.733' W"
 "48° 40.227' N,2° 51.727' W"
 "5° 18.124' S,104° 0.032' E"
 "29° 8.41' N,13° 27.135' W"
 "18° 28.778' S,70° 20.046' W"
 "7° 38.735' N,13° 5.922' W"
 "21° 9.314' S,55° 16.876' E"
 "13° 56.544' S,38° 55.597' W"
 "34° 40.031' S,19° 29.786' E"
 "38° 34.758' N,9° 12.145' W"
 "53° 18.8' N,0° 17.025' E"
 "52° 7.239' N,10° 12.351' W"
 "8° 27.387' N,79° 58.287' W"
 "17° 57.186' N,66° 49.794' W"
 "33° 20.764' S,18° 8.806' E"
 "5° 59.975' N,80° 15.725' E"
 "8° 16.767' S,111° 4.471' E"
 "9° 35.805' N,85° 8.702' W"
 "43° 32.034' N,5° 23.026' W"
 "34° 47.935' S,20° 3.529' E"
 "33° 39.566' N,134° 24.226' E"
 "40° 41.088' N,8° 12.181' E"
 "37° 5.477' N,8° 10.978' W"
 "10° 55.388' N,108° 17.704' E"
 "34° 39.84' N,32° 52.813' E"
 "35° 0.756' N,34° 3.537' E"
 "17° 43.95' N,101° 39.184' W"
 "27° 57.536' S,48° 37.48' W"
 "37° 6.065' N,8° 56.722' W"
 "2° 35.696' S,150° 46.077' E"
 "39° 24.991' N,9° 15.159' W"
 "3° 50.106' S,32° 24.201' W"
 "2° 42.757' S,85° 6.006' W"
 "53° 44.119' N,9° 53.633' W"
 "23° 6.923' S,43° 31.551' E"
 "40° 32.184' S,73° 43.004' W"
 "4° 20.614' N,73° 36.777' E"
 "17° 37.944' S,149° 36.9' W"
 "16° 44.717' S,151° 25.216' W"
 "42° 42.02' N,3° 2.365' E"
 "56° 16.794' N,12° 29.642' E"
 "20° 19.54' S,57° 22.651' E"
 "37° 49.206' N,23° 48.662' E"
 "30° 29.959' N,9° 40.632' W"
 "58° 35.961' N,3° 30.927' W"
 "12° 19.721' S,76° 50.133' W"
 "34° 45.986' S,55° 42.685' W"
 "50° 26.711' N,5° 2.589' W"
 "43° 30.38' N,39° 52.115' E"
 "23° 46.084' S,45° 44.289' W"
 "38° 15.934' N,104° 37.331' W"
 "11° 54.258' N,86° 36.937' W"
 "63° 49.826' N,22° 27.165' W"
 "45° 50.976' N,1° 15.481' W"
 "28° 33.359' N,16° 20.505' W"
 "29° 43.725' S,31° 5.309' E"
 "9° 17.92' N,126° 11.832' E"
 "32° 1.787' N,131° 30' E"
 "8° 30.199' N,83° 7.456' W"
 "43° 26.091' N,4° 2.082' W"
 "17° 39.833' N,101° 39.185' W"
 "4° 22.222' N,73° 39.305' E"
 "28° 23.715' N,16° 36.143' W"
 "23° 27.379' S,45° 1.275' W"
 "28° 15.374' S,48° 40.362' W"
 "39° 21.689' N,9° 21.338' W"
 "42° 3.037' N,8° 53.24' W"
 "55° 18.421' N,20° 58.6' E"
 "25° 21.92' N,76° 29.042' W"
 "33° 35.67' N,134° 21.828' E"
 "44° 38.653' N,63° 21.567' W"
 "39° 49.154' N,8° 59.878' W"
 "37° 2.743' N,8° 58.758' W"
 "12° 57.456' S,40° 34.344' E"
 "5° 57.326' N,80° 25.024' E"
 "13° 46.505' S,172° 17.233' W"
 "2° 49.212' S,100° 3.539' E"
 "31° 33.244' N,131° 22.898' E"
 "34° 8.776' S,18° 19.028' E"
 "48° 0.798' N,4° 35.743' W"
 "35° 2.027' S,117° 0.701' E"
 "47° 54.925' N,4° 22.868' W"
 "5° 59.271' N,80° 19.425' E"
 "44° 48.193' N,13° 57.992' E"
 "22° 59.988' S,43° 15.261' W"
 "28° 31.499' S,48° 45.747' W"
 "51° 20.67' N,3° 13.885' E"
 "36° 29.011' N,4° 44.513' W"
 "39° 8.219' N,9° 25.741' E"
 "31° 49.043' N,34° 38.408' E"
 "10° 51.147' N,85° 48.152' W"
 "39° 32.082' N,2° 27.369' E"
 "13° 28.051' N,144° 38.453' E"
 "0° 20.682' N,73° 32.179' E"
 "37° 5.138' N,8° 14.921' W"
 "52° 9.046' N,7° 6.716' W"
 "54° 35.157' N,0° 58.17' W"
 "49° 43.615' N,1° 56.274' W"
 "20° 42.747' N,69° 42.907' W"
 "23° 1.436' N,109° 42.952' W"
 "13° 2.783' N,59° 31.118' W"
 "51° 2.749' N,4° 13.908' W"
 "32° 59.477' S,27° 57.092' E"
 "25° 43.889' S,14° 50.284' E"
 "43° 27.931' N,5° 4.265' W"
 "48° 33.208' N,4° 43.985' W"
 "8° 44.458' S,115° 14.575' E"
 "3° 51.067' S,80° 49.997' W"
 "62° 9.44' N,5° 5.942' E"
 "10° 50.823' N,85° 51.391' W"
 "19° 24.897' N,69° 51.579' W"
 "13° 12.862' N,59° 31.355' W"
 "34° 2.291' S,24° 55.977' E"
 "43° 17.474' N,8° 42.158' W"
 "43° 33.188' N,6° 59.719' W"
 "48° 31.931' N,4° 45.142' W"
 "36° 21.778' N,6° 10.902' W"
 "17° 58.506' S,25° 51.605' E"
 "49° 41.424' N,1° 56.162' W"
 "53° 2.334' N,4° 42.791' E"
 "23° 23.81' N,121° 28.872' E"
 "18° 21.645' N,121° 37.616' E"
 "17° 29.45' S,149° 45.222' W"
 "8° 40.017' S,115° 8.317' E"
 "8° 12.565' N,13° 9.538' W"
 "31° 12.729' N,29° 54.923' E"
 "8° 21.608' S,116° 2.632' E"
 "52° 47.619' N,4° 30.032' W"
 "5° 43.147' S,39° 17.989' E"
 "52° 50.73' N,9° 26.547' W"
 "37° 10.398' N,25° 28.809' E"
 "18° 19.539' N,64° 47.795' W"
 "18° 28.222' N,66° 28.539' W"
 "47° 7.454' N,2° 12.978' W"
 "9° 23.743' N,76° 10.206' W"
 "8° 43.631' S,116° 45.944' E"
 "21° 30.948' N,105° 14.823' W"
 "17° 59.522' N,65° 53.439' W"
 "2° 37.221' S,151° 58.547' E"
 "9° 47.385' N,126° 10.322' E"
 "49° 10.16' N,2° 5.098' W"
 "41° 6.738' N,8° 40.004' W"
 "17° 50.492' S,177° 10.169' E"
 "50° 46.586' N,1° 36.231' E"
 "32° 39.327' N,17° 1.502' W"
 "15° 45.236' N,121° 34.07' E"
 "41° 21.34' N,8° 45.322' W"
 "8° 44.707' S,115° 9.019' E"
 "6° 0.386' N,80° 14.66' E"
 "54° 56.259' N,1° 21.985' W"
 "18° 27.249' N,103° 33.514' W"
 "29° 55.537' S,31° 1.15' E"
 "6° 22.02' S,35° 0.888' W"
 "32° 0.485' S,52° 1.133' W"
 "51° 32.678' N,9° 5.121' W"
 "10° 53.609' S,122° 48.709' E"
 "50° 36.387' N,2° 7.845' W"
 "33° 58.681' S,25° 39.271' E"
 "8° 25.296' S,114° 48.28' E"
 "17° 31.455' S,149° 23.399' W"
 "18° 29.321' S,70° 19.744' W"
 "3° 50.376' S,32° 24.797' W"
 "7° 31.162' S,79° 32.511' W"
 "30° 32.57' N,9° 42.382' W"
 "54° 28.323' N,8° 20.56' W"
 "34° 57.501' S,54° 55.651' W"
 "36° 22.211' N,10° 32.753' E"
 "50° 32.168' N,5° 1.451' W"
 "28° 1.776' N,16° 33.116' W"
 "54° 20.193' N,10° 38.921' E"
 "33° 57.652' S,71° 52.762' W"
 "57° 49.26' N,152° 21.082' W"
 "38° 10.566' N,8° 46.929' W"
 "37° 55.512' N,8° 48.443' W"
 "17° 49.335' S,177° 7.954' E"
 "37° 19.264' N,8° 52.773' W"
 "33° 30.006' S,71° 37.478' W"
 "50° 31.562' N,5° 1.389' W"
 "51° 48.2' N,10° 10.538' W"
 "12° 9.711' N,109° 12.308' E"
 "32° 53.16' S,17° 52.686' E"
 "44° 26.838' N,1° 15.414' W"
 "31° 46.391' N,34° 36.997' E"
 "14° 43.539' N,17° 30.281' W"
 "32° 7.44' N,131° 32.41' E"
 "55° 31.155' N,14° 20.796' E"
 "36° 18.576' N,6° 9.202' W"
 "28° 8.731' N,15° 34.496' W"
 "36° 45.042' N,3° 48.911' W"
 "43° 6.919' N,5° 47.31' E"
 "33° 28.585' N,7° 58.358' W"
 "43° 26.322' N,4° 2.865' W"
 "15° 15.492' N,145° 48.814' E"
 "53° 54.802' N,0° 9.639' W"
 "53° 0.937' N,9° 24.907' W"
 "28° 8.8' N,15° 33.653' W"
 "33° 36.182' S,26° 54.125' E"
 "0° 41.699' S,73° 11.024' E"
 "37° 50.674' S,57° 30.067' W"
 "29° 16.012' N,13° 31.455' W"
 "51° 39.529' N,5° 3.748' W"
 "38° 1.635' S,57° 31.718' W"
 "39° 7.708' N,20° 35.282' E"
 "32° 20.104' N,64° 40.828' W"
 "52° 48.39' N,4° 42.211' W"
 "34° 8.192' S,18° 19.553' E"
 "35° 9.489' N,129° 9.639' E"
 "0° 34.333' N,97° 43.952' E"
 "15° 39.941' N,96° 33.077' W"
 "6° 57.774' S,106° 28.771' E"
 "11° 0.283' N,74° 57.168' W"
 "18° 27.057' N,94° 17.714' E"
 "38° 26.699' N,9° 6.46' W"
 "17° 55.171' N,62° 51.575' W"
 "12° 20.044' S,76° 49.982' W"
 "43° 23.435' N,1° 40.876' W"
 "15° 7.927' N,145° 41.099' E"
 "34° 6.496' S,18° 21.088' E"
 "17° 30.53' S,149° 25.88' W"
 "35° 1.432' N,139° 59.55' E"
 "13° 2.707' N,59° 31.732' W"
 "48° 41.62' N,3° 39.758' W"
 "30° 39.55' S,30° 31.017' E"
 "37° 51.3' N,8° 47.663' W"
 "42° 40.628' N,9° 1.99' W"
 "4° 44.678' S,55° 27.921' E"
 "32° 45.665' N,132° 48.942' E"
 "32° 16.402' N,34° 50.006' E"
 "34° 57.767' S,54° 56.4' W"
 "37° 40.687' N,24° 3.233' E"
 "8° 40.195' S,115° 15.847' E"
 "19° 6.277' N,96° 5.804' W"
 "26° 10.172' S,48° 33.149' W"
 "11° 30.744' N,86° 10.302' W"
 "34° 38.281' N,33° 0.598' E"
 "22° 37.946' S,14° 31.401' E"
 "43° 47.736' N,1° 24.754' W"
 "46° 38.185' N,1° 53.548' W"
 "34° 11.476' S,24° 36.622' E"
 "52° 0.69' N,4° 8.57' E"
 "33° 37.992' S,71° 38.135' W"
 "29° 23.205' N,10° 10.442' W"
 "38° 20.34' S,73° 30.416' W"
 "46° 45.396' N,7° 37.907' E"
 "34° 5.806' S,18° 30.642' E"
 "44° 10.661' N,81° 38.625' W"
 "38° 6.554' N,20° 30.416' E"
 "47° 41.69' N,3° 20.049' W"
 "8° 18.255' N,82° 34.66' W"
 "55° 8.28' N,8° 17.94' W"
 "38° 36.187' N,0° 2.435' W"
 "37° 2.739' N,8° 52.359' W"
 "29° 51.085' S,31° 2.435' E"
 "52° 1.919' N,4° 10.035' E"
 "18° 5.384' N,63° 0.56' W"
 "51° 19.282' N,3° 8.196' E"
 "54° 45.172' N,8° 16.661' E"
 "2° 33.111' N,96° 5.252' E"
 "34° 7.966' S,18° 26.443' E"
 "9° 39.335' N,82° 45.364' W"
 "42° 38.837' N,9° 2.028' W"
 "34° 21.529' S,18° 29.837' E"
 "40° 52.459' N,14° 2.617' E"
 "42° 2.292' N,11° 55.003' E"
 "34° 3.302' S,23° 22.778' E"
 "31° 15.718' N,29° 58.886' E"
 "5° 23.289' N,0° 29.33' W"
 "54° 46.141' N,18° 29.07' E"
 "43° 34.964' N,8° 12.965' W"
 "9° 56.675' N,85° 40.346' W"
 "49° 4.255' N,125° 45.913' W"
 "50° 25.521' N,5° 3.753' W"
 "8° 51.75' S,116° 45.333' E"
 "50° 50.163' N,0° 27.972' E"
 "9° 43.034' S,39° 44.738' E"
 "43° 20.599' N,8° 21.813' W"
 "27° 35.609' S,48° 25.513' W"
 "9° 44.835' N,126° 5.936' E"
 "1° 59.973' S,99° 32.915' E"
 "39° 8.435' N,20° 34.592' E"
 "11° 13.618' S,13° 50.031' E"
 "18° 51.557' S,49° 8.981' E"
 "34° 57.473' S,54° 56.16' W"
 "2° 1.681' S,99° 33.265' E"
 "18° 22.137' N,65° 41.605' W"
 "19° 17.765' N,69° 35.924' W"
 "48° 6.399' N,4° 21.239' W"
 "33° 5.619' S,71° 39.805' W"
 "23° 10.287' S,44° 7.739' W"
 "32° 58.998' N,35° 4.884' E"
 "43° 32.162' N,8° 17.732' W"
 "47° 46.077' N,3° 33.824' W"
 "53° 43.649' N,0° 2.343' E"
 "51° 34.075' N,4° 0.706' W"
 "41° 55.524' N,16° 6.553' E"
 "29° 37.536' S,49° 56.145' W"
 "4° 51.046' N,2° 14.025' W"
 "37° 48.305' N,23° 51.073' E"
 "28° 8.79' N,15° 33.13' W"
 "25° 26.299' S,14° 50.469' E"
 "49° 38.569' N,1° 51.316' W"
 "28° 56.235' S,49° 19.779' W"
 "27° 24.048' S,48° 24.804' W"
 "23° 10.808' S,44° 18.266' W"
 "9° 58.969' N,85° 41.737' W"
 "33° 21.597' S,27° 22.202' E"
 "37° 5.421' N,21° 34.92' E"
 "22° 27.674' N,114° 25.224' E"
 "41° 27.338' N,12° 39.314' E"
 "12° 0.098' N,83° 41.033' W"
 "43° 30.299' N,1° 32.39' W"
 "49° 44.446' N,0° 18.377' E"
 "42° 12.7' N,8° 46.546' W"
 "49° 58.151' N,1° 11.713' E"
 "45° 44.521' N,1° 14.474' W"
 "33° 32.048' N,133° 41.104' E"
 "46° 12.527' N,6° 9.806' E"
 "23° 24.14' S,45° 0.088' W"
 "51° 33.16' N,8° 57.53' W"
